Unnamed: 0,Modelo,p_físico,Distancia,Condición,Tasa_error_bits,F1,IoU,AUC,Balanced_accuracy,Precision,Recall,F1_std,IoU_std,AUC_std
40,Transformer,0.100%,5,Mismo circuito + MWPM,0.010%,0.429,0.273,0.962,0.85,0.307,0.713,0.001,0.001,0.0
41,Transformer,0.100%,5,Mismo circuito sin decoder,5.794%,0.398,0.248,0.95,0.79,0.3,0.591,0.008,0.007,0.002
42,Transformer,0.100%,7,Ideal 8-bit,0.000%,0.429,0.273,0.962,0.851,0.307,0.715,0.0,0.0,0.0
43,Transformer,0.100%,7,Mismo circuito + MWPM,0.001%,0.429,0.273,0.962,0.851,0.307,0.715,0.0,0.0,0.0
44,Transformer,0.100%,7,Mismo circuito sin decoder,10.531%,0.369,0.226,0.935,0.75,0.288,0.511,0.011,0.008,0.005
45,Transformer,0.600%,3,Ideal 8-bit,0.000%,0.429,0.273,0.962,0.851,0.307,0.715,0.0,0.0,0.0
46,Transformer,0.600%,3,Mismo circuito + MWPM,2.732%,0.425,0.27,0.956,0.828,0.311,0.669,0.007,0.006,0.002
47,Transformer,0.600%,3,Mismo circuito sin decoder,12.035%,0.365,0.223,0.929,0.737,0.294,0.483,0.01,0.008,0.005
48,Transformer,0.600%,5,Ideal 8-bit,0.000%,0.429,0.273,0.962,0.851,0.307,0.715,0.0,0.0,0.0
49,Transformer,0.600%,5,Mismo circuito + MWPM,2.612%,0.417,0.264,0.957,0.823,0.306,0.658,0.005,0.004,0.003
50,Transformer,0.600%,5,Mismo circuito sin decoder,26.267%,0.175,0.096,0.833,0.628,0.129,0.271,0.01,0.006,0.011
51,Transformer,0.600%,7,Ideal 8-bit,0.000%,0.429,0.273,0.962,0.851,0.307,0.715,0.0,0.0,0.0
52,Transformer,0.600%,7,Mismo circuito + MWPM,2.367%,0.416,0.263,0.957,0.824,0.303,0.661,0.009,0.007,0.002
53,Transformer,0.600%,7,Mismo circuito sin decoder,38.026%,0.055,0.028,0.679,0.563,0.033,0.166,0.007,0.004,0.005
