Unnamed: 0,Distancia,p_físico,Shots,Fallos_lógicos,LER_MWPM,IC95_inf,IC95_sup,Qubits_circuito,Detectores
0,3,0.600%,20000,522,2.610%,2.389%,2.831%,26,24
1,5,0.600%,20000,566,2.830%,2.600%,3.060%,64,120
