Unnamed: 0,Modelo,p_físico,Distancia,Condición,N_clusters,N_semillas,N_corridas,F1_medio,F1_std,F1_IC95_inf,F1_IC95_sup,IoU_medio,IoU_std,IoU_IC95_inf,IoU_IC95_sup,Balanced_accuracy_medio,Balanced_accuracy_std,Balanced_accuracy_IC95_inf,Balanced_accuracy_IC95_sup,Precision_medio,Precision_std,Precision_IC95_inf,Precision_IC95_sup,Recall_medio,Recall_std,Recall_IC95_inf,Recall_IC95_sup,AUC_medio,AUC_std,AUC_IC95_inf,AUC_IC95_sup,AUC_PR_medio,AUC_PR_std,AUC_PR_IC95_inf,AUC_PR_IC95_sup
54,Transformer,0.100%,3,Código de superficie + MWPM,30,5,6,0.335,0.161,0.277,0.392,0.237,0.114,0.196,0.278,0.751,0.136,0.703,0.8,0.264,0.125,0.219,0.309,0.521,0.275,0.422,0.619,0.932,0.051,0.914,0.95,0.355,0.163,0.297,0.413
55,Transformer,0.100%,3,Ideal cuantizada,30,5,6,0.335,0.161,0.277,0.392,0.237,0.114,0.196,0.277,0.751,0.135,0.703,0.799,0.264,0.125,0.219,0.308,0.52,0.275,0.422,0.619,0.932,0.051,0.913,0.95,0.355,0.163,0.297,0.413
56,Transformer,0.100%,3,Mismo circuito sin decodificación,30,5,6,0.328,0.169,0.268,0.388,0.23,0.119,0.188,0.273,0.742,0.137,0.693,0.791,0.26,0.132,0.213,0.308,0.501,0.277,0.402,0.6,0.928,0.056,0.908,0.948,0.363,0.166,0.304,0.423
57,Transformer,0.100%,5,Código de superficie + MWPM,30,5,6,0.335,0.161,0.277,0.393,0.237,0.114,0.196,0.278,0.752,0.136,0.703,0.8,0.264,0.125,0.219,0.309,0.521,0.275,0.423,0.62,0.931,0.051,0.913,0.95,0.355,0.163,0.297,0.414
58,Transformer,0.100%,5,Ideal cuantizada,30,5,6,0.335,0.161,0.277,0.392,0.237,0.114,0.196,0.277,0.751,0.135,0.703,0.799,0.264,0.125,0.219,0.308,0.52,0.275,0.422,0.619,0.932,0.051,0.913,0.95,0.355,0.163,0.297,0.413
59,Transformer,0.100%,5,Mismo circuito sin decodificación,30,5,6,0.301,0.18,0.237,0.366,0.205,0.125,0.16,0.249,0.72,0.14,0.67,0.77,0.24,0.143,0.189,0.291,0.456,0.285,0.354,0.558,0.919,0.072,0.893,0.944,0.362,0.168,0.302,0.422
60,Transformer,0.100%,7,Código de superficie + MWPM,30,5,6,0.335,0.161,0.277,0.392,0.237,0.114,0.196,0.277,0.751,0.135,0.703,0.799,0.264,0.125,0.219,0.308,0.52,0.275,0.422,0.619,0.932,0.051,0.913,0.95,0.355,0.163,0.297,0.413
61,Transformer,0.100%,7,Ideal cuantizada,30,5,6,0.335,0.161,0.277,0.392,0.237,0.114,0.196,0.277,0.751,0.135,0.703,0.799,0.264,0.125,0.219,0.308,0.52,0.275,0.422,0.619,0.932,0.051,0.913,0.95,0.355,0.163,0.297,0.413
62,Transformer,0.100%,7,Mismo circuito sin decodificación,30,5,6,0.306,0.17,0.245,0.367,0.209,0.118,0.167,0.251,0.714,0.13,0.667,0.76,0.25,0.136,0.202,0.299,0.442,0.264,0.348,0.537,0.918,0.078,0.89,0.946,0.343,0.173,0.281,0.405
63,Transformer,0.600%,3,Código de superficie + MWPM,30,5,6,0.334,0.162,0.276,0.392,0.236,0.115,0.195,0.278,0.747,0.134,0.699,0.795,0.266,0.127,0.22,0.311,0.511,0.272,0.413,0.608,0.927,0.058,0.906,0.948,0.358,0.165,0.299,0.417
64,Transformer,0.600%,3,Ideal cuantizada,30,5,6,0.335,0.161,0.277,0.392,0.237,0.114,0.196,0.277,0.751,0.135,0.703,0.799,0.264,0.125,0.219,0.308,0.52,0.275,0.422,0.619,0.932,0.051,0.913,0.95,0.355,0.163,0.297,0.413
65,Transformer,0.600%,3,Mismo circuito sin decodificación,30,5,6,0.296,0.187,0.229,0.363,0.199,0.129,0.153,0.245,0.71,0.14,0.66,0.761,0.239,0.149,0.186,0.293,0.435,0.285,0.334,0.537,0.915,0.078,0.888,0.943,0.343,0.174,0.281,0.405
66,Transformer,0.600%,5,Código de superficie + MWPM,30,5,6,0.319,0.173,0.257,0.38,0.221,0.121,0.178,0.265,0.74,0.142,0.689,0.791,0.25,0.134,0.202,0.298,0.497,0.289,0.394,0.6,0.924,0.059,0.903,0.945,0.351,0.169,0.291,0.412
67,Transformer,0.600%,5,Ideal cuantizada,30,5,6,0.335,0.161,0.277,0.392,0.237,0.114,0.196,0.277,0.751,0.135,0.703,0.799,0.264,0.125,0.219,0.308,0.52,0.275,0.422,0.619,0.932,0.051,0.913,0.95,0.355,0.163,0.297,0.413
68,Transformer,0.600%,5,Mismo circuito sin decodificación,30,5,6,0.319,0.177,0.256,0.383,0.224,0.128,0.178,0.27,0.7,0.117,0.658,0.742,0.28,0.156,0.224,0.335,0.412,0.236,0.328,0.497,0.89,0.122,0.846,0.933,0.348,0.172,0.286,0.409
69,Transformer,0.600%,7,Código de superficie + MWPM,30,5,6,0.327,0.167,0.267,0.386,0.228,0.118,0.186,0.271,0.743,0.137,0.694,0.792,0.258,0.13,0.211,0.305,0.504,0.278,0.404,0.603,0.925,0.062,0.903,0.947,0.359,0.166,0.3,0.418
70,Transformer,0.600%,7,Ideal cuantizada,30,5,6,0.335,0.161,0.277,0.392,0.237,0.114,0.196,0.277,0.751,0.135,0.703,0.799,0.264,0.125,0.219,0.308,0.52,0.275,0.422,0.619,0.932,0.051,0.913,0.95,0.355,0.163,0.297,0.413
71,Transformer,0.600%,7,Mismo circuito sin decodificación,30,5,6,0.293,0.179,0.229,0.357,0.201,0.129,0.155,0.247,0.674,0.112,0.634,0.714,0.27,0.166,0.21,0.329,0.359,0.226,0.278,0.44,0.905,0.095,0.871,0.939,0.332,0.173,0.27,0.395
