Unnamed: 0,Modelo,p_físico,Distancia,Condición,N_clusters,N_semillas,N_corridas,F1_medio,F1_std,F1_IC95_inf,F1_IC95_sup,IoU_medio,IoU_std,IoU_IC95_inf,IoU_IC95_sup,Balanced_accuracy_medio,Balanced_accuracy_std,Balanced_accuracy_IC95_inf,Balanced_accuracy_IC95_sup,Precision_medio,Precision_std,Precision_IC95_inf,Precision_IC95_sup,Recall_medio,Recall_std,Recall_IC95_inf,Recall_IC95_sup,AUC_medio,AUC_std,AUC_IC95_inf,AUC_IC95_sup
0,CNN,0.100%,3,Código de superficie + MWPM,30,5,6,0.333,0.156,0.277,0.388,0.217,0.103,0.18,0.253,0.84,0.162,0.782,0.898,0.231,0.109,0.191,0.27,0.706,0.326,0.59,0.823,0.979,0.008,0.976,0.982
1,CNN,0.100%,3,Sin decodificación,30,5,6,0.323,0.152,0.269,0.378,0.21,0.1,0.174,0.245,0.82,0.153,0.765,0.875,0.227,0.109,0.188,0.266,0.665,0.309,0.554,0.775,0.974,0.011,0.97,0.978
2,CNN,0.100%,5,Código de superficie + MWPM,30,5,6,0.332,0.156,0.276,0.388,0.216,0.103,0.179,0.253,0.84,0.162,0.782,0.898,0.23,0.11,0.191,0.269,0.707,0.327,0.59,0.824,0.979,0.008,0.976,0.982
3,CNN,0.100%,5,Sin decodificación,30,5,6,0.307,0.148,0.255,0.36,0.198,0.096,0.164,0.233,0.786,0.144,0.735,0.837,0.221,0.107,0.182,0.259,0.595,0.29,0.491,0.699,0.968,0.013,0.963,0.972
4,CNN,0.100%,7,Código de superficie + MWPM,30,5,6,0.333,0.156,0.277,0.389,0.217,0.103,0.18,0.253,0.841,0.162,0.783,0.899,0.231,0.109,0.191,0.27,0.707,0.327,0.591,0.824,0.979,0.008,0.976,0.982
5,CNN,0.100%,7,Sin decodificación,30,5,6,0.282,0.137,0.233,0.331,0.182,0.093,0.149,0.215,0.751,0.128,0.705,0.797,0.209,0.105,0.172,0.247,0.525,0.257,0.433,0.617,0.954,0.021,0.946,0.962
6,CNN,0.600%,3,Código de superficie + MWPM,30,5,6,0.327,0.154,0.272,0.382,0.212,0.102,0.176,0.249,0.822,0.154,0.766,0.877,0.23,0.111,0.191,0.27,0.668,0.311,0.557,0.779,0.975,0.009,0.971,0.978
7,CNN,0.600%,3,Sin decodificación,30,5,6,0.279,0.116,0.237,0.32,0.175,0.076,0.147,0.202,0.765,0.121,0.721,0.808,0.204,0.091,0.172,0.237,0.551,0.242,0.465,0.638,0.946,0.027,0.937,0.956
8,CNN,0.600%,5,Código de superficie + MWPM,30,5,6,0.318,0.154,0.263,0.374,0.206,0.101,0.17,0.243,0.813,0.153,0.758,0.867,0.224,0.109,0.184,0.263,0.65,0.309,0.539,0.76,0.974,0.009,0.971,0.978
9,CNN,0.600%,5,Sin decodificación,30,5,6,0.134,0.07,0.109,0.159,0.076,0.041,0.062,0.091,0.647,0.096,0.613,0.681,0.092,0.051,0.074,0.11,0.326,0.191,0.258,0.395,0.834,0.074,0.807,0.86
10,CNN,0.600%,7,Código de superficie + MWPM,30,5,6,0.32,0.152,0.265,0.374,0.208,0.1,0.172,0.243,0.815,0.151,0.761,0.869,0.225,0.109,0.186,0.265,0.655,0.305,0.546,0.764,0.974,0.009,0.971,0.978
11,CNN,0.600%,7,Sin decodificación,30,5,6,0.053,0.031,0.042,0.064,0.028,0.016,0.022,0.034,0.557,0.051,0.539,0.575,0.032,0.019,0.025,0.039,0.177,0.104,0.14,0.215,0.678,0.115,0.636,0.719
12,GNN dirigida,0.100%,3,Código de superficie + MWPM,30,5,6,0.243,0.084,0.213,0.273,0.151,0.061,0.129,0.173,0.787,0.102,0.751,0.824,0.168,0.071,0.142,0.193,0.604,0.204,0.531,0.677,0.947,0.032,0.935,0.958
