Unnamed: 0,Índice,p_físico,Distancia,Condición,MAE,RMSE,Correlación,SSIM,PSNR_dB
56,NDVI,0.100%,3,Mismo circuito sin decodificación,0.0213,0.083,0.9405,0.8292,21.65
57,NDVI,0.100%,5,Código de superficie + MWPM,0.0009,0.0011,1.0,1.0,59.17
58,NDVI,0.100%,5,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.24
59,NDVI,0.100%,5,Mismo circuito sin decodificación,0.0514,0.1306,0.8575,0.6592,17.71
60,NDVI,0.100%,7,Código de superficie + MWPM,0.0009,0.0011,1.0,1.0,59.24
61,NDVI,0.100%,7,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.24
62,NDVI,0.100%,7,Mismo circuito sin decodificación,0.1018,0.1929,0.7003,0.457,14.31
63,NDVI,0.600%,3,Código de superficie + MWPM,0.0306,0.1038,0.9077,0.7366,19.71
64,NDVI,0.600%,3,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.24
65,NDVI,0.600%,3,Mismo circuito sin decodificación,0.1075,0.199,0.6838,0.4438,14.04
66,NDVI,0.600%,5,Código de superficie + MWPM,0.0246,0.0874,0.9341,0.805,21.22
67,NDVI,0.600%,5,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.24
68,NDVI,0.600%,5,Mismo circuito sin decodificación,0.1932,0.2724,0.4488,0.2482,11.3
69,NDVI,0.600%,7,Código de superficie + MWPM,0.0258,0.0902,0.9296,0.7896,20.92
70,NDVI,0.600%,7,Ideal cuantizada,0.0009,0.0011,1.0,1.0,59.24
71,NDVI,0.600%,7,Mismo circuito sin decodificación,0.2586,0.333,0.2109,0.1079,9.56
